Company,Location HQ,# Laid Off,Date,%,Industry,Source,Stage,$ Raised (mm),Country,Date Added
Intel,Sacramento,22000.0,4/23/2025,20%,Hardware,https://www.bloomberg.com/news/articles/2025-04-23/intel-to-announce-plans-this-week-to-cut-more-than-20-of-staff?srnd=homepage-americas,Post-IPO,$12,United States,4/23/2025
AppLovin,SF Bay Area,97.0,4/16/2025,,Marketing,https://www.pocketgamer.biz/applovin-lays-off-97-staff/,Post-IPO,$1600,United States,4/18/2025
Sonder,SF Bay Area,,4/14/2025,,Travel,https://skift.com/2025/04/14/sonder-announces-50-million-in-layoffs-and-spending-cuts-ahead-of-marriott-integration/,Post-IPO,$839,United States,4/16/2025
Google,SF Bay Area,,4/11/2025,,Consumer,https://www.reuters.com/technology/google-lays-off-hundreds-employees-android-pixel-group-information-reports-2025-04-11/,Post-IPO,$26,United States,4/16/2025
Marin Software,SF Bay Area,,4/10/2025,100%,Marketing,https://searchengineland.com/marin-software-shutting-down-454228,Post-IPO,$99,United States,4/16/2025
Five9,SF Bay Area,123.0,4/3/2025,4%,Support,https://www.marketwatch.com/story/five9-to-cut-4-of-workforce-cd4da325,Post-IPO,$862,United States,4/16/2025
2U,Washington D.C.,,3/31/2025,,Education,https://www.classcentral.com/report/2u-layoffs-march-2025/,Post-IPO,$426,United States,4/1/2025
Palantir,Denver,120.0,3/27/2025,,Data,https://finance.yahoo.com/news/palantir-just-cut-over-60-192816370.html,Post-IPO,$3000,United States,4/1/2025
Block,SF Bay Area,931.0,3/25/2025,8%,Finance,https://techcrunch.com/2025/03/25/read-the-email-jack-dorsey-sent-when-he-cut-931-of-blocks-staff/,Post-IPO,$150,United States,3/25/2025
Acxiom,Little Rock,130.0,3/19/2025,3%,Marketing,https://adage.com/article/agency-news/acxiom-lays-35-staff-more-130-employees/2606146,Post-IPO,,United States,3/21/2025
HelloFresh,SF Bay Area,273.0,3/17/2025,,Food,https://www.grocerydive.com/news/hellofresh-close-texas-distribution-centers-cut-nearly-300-jobs/742616/,Post-IPO,$367,United States,3/17/2025
Arrival,"London,Non-U.S.",,3/10/2025,100%,Transportation,https://sifted.eu/articles/arrival-sales-collapse-news,Post-IPO,$629,United Kingdom,3/12/2025
Wayfair ,Boston,340.0,3/7/2025,,Retail,https://finance.yahoo.com/news/retailer-wayfair-restructures-technology-team-135556649.html,Post-IPO,$1700,Germany,3/7/2025
Hewlett Packard Enterprise,SF Bay Area,2500.0,3/6/2025,5%,Hardware,https://www.cnbc.com/2025/03/06/hewlett-packard-enterprise-hpe-q1-earnings-report-2025.html,Post-IPO,$1400,United States,3/7/2025
LiveRamp,SF Bay Area,65.0,3/5/2025,5%,Marketing,https://www.benzinga.com/news/guidance/25/03/44189581/saas-company-liveramp-lays-off-5-of-full-time-workforce-amid-strategic-restructuring,Post-IPO,$16,United States,3/7/2025
Ola Electric,"Bengaluru,Non-U.S.",1000.0,3/3/2025,,Transportation,https://inc42.com/buzz/ola-electric-to-cut-over-1k-jobs-amid-rising-losses-report/,Post-IPO,$1700,India,3/4/2025
HP,SF Bay Area,2000.0,2/28/2025,,Hardware,https://www.sfchronicle.com/tech/article/hp-job-cuts-tariff-concerns-20193141.php,Post-IPO,,United States,2/28/2025
Autodesk,SF Bay Area,1350.0,2/27/2025,9%,Other,https://www.cnbc.com/2025/02/27/autodesk-says-it-will-cut-1350-employees.html,Post-IPO,,United States,2/27/2025
Digimarc,Portland,90.0,2/27/2025,40%,Other,https://www.oregonlive.com/silicon-forest/2025/02/digimarc-shares-plunge-as-oregon-company-lays-off-40-of-its-staff.html,Post-IPO,$105,United States,3/4/2025
Google,SF Bay Area,,2/27/2025,,Consumer,https://www.cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html,Post-IPO,$26,United States,2/27/2025
eBay,"Tel Aviv,Non-U.S.",20.0,2/26/2025,,Retail,https://www.calcalistech.com/ctechnews/article/bjgsl8n9yl,Post-IPO,$1200,Israel,2/27/2025
Dayforce,"Toronto,Non-U.S.",,2/26/2025,5%,HR,https://www.marketwatch.com/story/dayforce-to-cut-about-5-of-workforce-in-efficiency-drive-2eabda38?mod=investing,Post-IPO,$40,United States,2/27/2025
Expedia,Seattle,,2/26/2025,,Travel,https://www.geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/,Post-IPO,$3300,United States,2/27/2025
Ibotta,Denver,70.0,2/22/2025,8%,Retail,https://coloradosun.com/2025/02/22/fired-federal-workers-eligible-colorado-unemployment-benefits/#h-other-working-bits,Post-IPO,$93,United States,2/24/2025
NetEase,"Tokyo,Non-U.S.",,2/22/2025,,Consumer,https://www.techinasia.com/news/netease-cuts-jobs-projects-as-growth-remains-slow,Post-IPO,,Japan,2/23/2025
Riskified,New York City,,2/19/2025,,Retail,https://www.calcalistech.com/ctechnews/article/h1hkriq91l,Post-IPO,$229,United States,2/21/2025
Redfin,Seattle,450.0,2/12/2025,,Real Estate,https://www.realestatenews.com/2025/02/12/redfin-to-cut-450-roles-following-zillow-rentals-deal,Post-IPO,$320,United States,2/17/2025
Unity,SF Bay Area,,2/11/2025,,Other,https://www.theverge.com/news/610165/unity-layoffs-2025-runtime-fee,Post-IPO,$1300,United States,2/12/2025
Meta,SF Bay Area,3600.0,2/10/2025,5%,Consumer,https://finance.yahoo.com/news/mark-zuckerberg-warned-employees-prepare-174916671.html,Post-IPO,$26000,United States,1/16/2025
Wise,Tampa Bay,300.0,2/10/2025,,Finance,https://www.tampabay.com/news/business/2025/02/10/wise-close-tampa-offices-cutting-more-than-300-jobs/,Post-IPO,$300,United States,2/25/2025
Sprinklr,New York City,500.0,2/6/2025,15%,Support,https://techcrunch.com/2025/02/06/sprinklr-cuts-500-employees-citing-underwhelming-business-performance/,Post-IPO,$429,United States,2/8/2025
Workday,SF Bay Area,1750.0,2/5/2025,8%,HR,https://www.cnbc.com/2025/02/05/workday-to-cut-1750-jobs-in-ai-push.html,Post-IPO,$230,United States,2/5/2025
Outbrain,New York City,200.0,2/5/2025,,Marketing,https://www.calcalistech.com/ctechnews/article/rkxxve11yyl,Post-IPO,$394,United States,2/5/2025
Sonos,Santa Barbara,200.0,2/5/2025,12%,Consumer,https://www.theverge.com/news/607022/sonos-february-layoffs-app-problems,Post-IPO,$455,United States,2/5/2025
Okta,SF Bay Area,180.0,2/4/2025,3%,Security,https://techcrunch.com/2025/02/04/okta-lays-off-180-employees-nearly-one-year-after-last-workforce-reduction/,Post-IPO,$1200,United States,2/4/2025
Asana,SF Bay Area,100.0,2/4/2025,,Other,Internal memo,Post-IPO,$453,United States,2/5/2025
TripAdvisor,Boston,75.0,2/4/2025,,Travel,https://skift.com/2025/02/04/tripadvisor-fires-more-than-150-employees-and-contractors-scoop/,Post-IPO,$3,United States,2/5/2025
Intel,Sacramento,58.0,2/4/2025,,Hardware,https://folsomtimes.com/intel-announces-another-58-layoffs-for-folsom-campus/,Post-IPO,$12,United States,2/21/2025
Salesforce,SF Bay Area,1000.0,2/3/2025,1%,Sales,https://finance.yahoo.com/news/salesforce-cut-1-000-roles-002028643.html,Post-IPO,$65,United States,2/3/2025
Amazon,Seattle,,1/29/2025,,Retail,https://www.bloomberg.com/news/articles/2025-01-29/amazon-cuts-dozens-of-corporate-jobs-in-latest-round-of-layoffs,Post-IPO,$8100,United States,2/2/2025
AppLovin,SF Bay Area,89.0,1/15/2025,,Marketing,https://www.pocketgamer.biz/applovin-lays-off-97-staff/,Post-IPO,$1600,United States,4/18/2025
Microsoft,Seattle,,1/14/2025,,Other,https://www.businessinsider.com/microsoft-layoffs-hit-security-devices-sales-gaming-2025-1,Post-IPO,$1,United States,1/14/2025
Boozt,"Malmo,Non-U.S.",,1/13/2025,10%,Retail,https://www.breakit.se/artikel/42184/boozt-sager-upp-var-tionde-pekar-pa-ai,Post-IPO,$56,Sweden,2/2/2025
